id_seq,id_pesq,id_muni,info_uf,info_muni,info_election,info_position,comp_nm,comp_cnpj,comp_contract_same,stat_id,stat_nm,pesq_n,pesq_val,pesq_contractors,pesq_origin,dt_reg,dt_pub,dt_start,dt_end,lat,long
1,PE-08659/2016,PE_25852,PE,MOREILANDIA,Eleições Municipais 2016,,FRANCISCO VIRGULINO DE AMORIM - ME / IMAPE - INST. MAJORITARIO DE PESQUISAS E ESTATISTICAS,09170122000109,Não,8521,JORGE ALVES DE SOUSA,400,2e3,CPF/CNPJ: 25587435000105 - ELEICAO 2016 JOAO ANGELIM CRUZ PREFEITO Origem do Recurso: (Fundo partidario),Fundo partidario,2016-08-25,2016-08-31,2016-08-25,2016-08-26,-7.6335748,-39.5508428
2,MA-09755/2016,MA_07510,MA,CANTANHEDE,Eleições Municipais 2016,,INOP - INSTITUTO NACIONAL DE OPINIAO PUBLICA LTDA - ME / INSTITUTO NACIONAL DE OPINIAO PUBLICA (INOP),14266926000138,Não,7ª REGIÃO 8747,VITOR EMMANUEL BOUCAS DA SILVA,462,4e3,CPF/CNPJ: 40672654334 - EDILSON DE JESUS S SANTOS Origem do Recurso: (Recursos proprios),Recursos proprios,2016-08-03,2016-08-09,2016-07-24,2016-07-26,-3.63670913333333,-44.3803361166667
117,SP-05994/2016,SP_63835,SP,DOIS CORREGOS,Eleições Municipais 2016,Prefeito,PERFIL PESQUISAS DE OPINIAO PUBLICA E CONSULTORIA LTDA - ME / PERFIL PESQUISAS,09434008000130,Não,7655,AUGUSTO DA SILVA ROCHA,400,2e3,CPF/CNPJ: 00017323000198 - R.V.G. EDITORA E PUBLICIDADE LTDA - ME / R.V.G. EDITORA E PUBLICIDADE Origem do Recurso: (Recursos proprios),Recursos proprios,2016-09-19,2016-09-25,2016-09-20,2016-09-21,-22.3683552333333,-48.3838684333333
118,SP-03759/2016,SP_62979,SP,CAMPOS NOVOS PAULISTA,Eleições Municipais 2016,Prefeito,PATRICIO & SILVA LTDA - ME / LONDON PESQUISAS,11509901000120,Não,8653-A,ADERCIO APARECIDO DE MELO,270,5e3,CPF/CNPJ: 00029304000181 - EMPRESA JORNALISTICA COMARCA DE PALMITAL LTDA - EPP / JORNAL DA COMARCA Origem do Recurso: (Recursos proprios),Recursos proprios,2016-09-20,2016-09-26,2016-09-21,2016-09-23,-22.6122703,-49.9976442
119,SP-02215/2016,SP_64912,SP,IBIRAREMA,Eleições Municipais 2016,Prefeito,PATRICIO & SILVA LTDA - ME / LONDON PESQUISAS,11509901000120,Não,8653-A,ADERCIO APARECIDO DE MELO,315,5e3,CPF/CNPJ: 00029304000181 - EMPRESA JORNALISTICA COMARCA DE PALMITAL LTDA - EPP / JORNAL DA COMARCA Origem do Recurso: (Recursos proprios),Recursos proprios,2016-08-22,2016-08-28,2016-08-20,2016-08-21,-22.8177508,-50.0742124
120,SP-06447/2016,SP_68071,SP,PALMITAL,Eleições Municipais 2016,Prefeito,PATRICIO & SILVA LTDA - ME / LONDON PESQUISAS,11509901000120,Não,8653-A,ADERCIO APARECIDO DE MELO,300,5e3,CPF/CNPJ: 00029304000181 - EMPRESA JORNALISTICA COMARCA DE PALMITAL LTDA - EPP / JORNAL DA COMARCA Origem do Recurso: (Recursos proprios),Recursos proprios,2016-09-25,2016-10-01,2016-09-27,2016-09-28,-22.7912921181818,-50.2108008454545
121,RJ-00125/2016,RJ_58017,RJ,ANGRA DOS REIS,Eleições Municipais 2016,Prefeito,ULRICH PESQUISA E MARKETING LTDA. - EPP / UP PESQUISAS,10683261000107,Não,5592A,HERICH ULRICH,504,16e3,CPF/CNPJ: 00108243000148 - TRAFEGO MARKETING CULTURAL LTDA - EPP Origem do Recurso: (Recursos proprios),Recursos proprios,2016-08-29,2016-09-04,2016-08-30,2016-09-01,-22.9995195035714,-44.3391815071429
122,PE-05660/2016,PE_26077,PE,TORITAMA,Eleições Municipais 2016,Prefeito,INSTITUTO EXATTA - PESQUISAS DE OPINIAO E MERCADO EIRELI - ME / EXATTA,09040566000111,Não,8463/5a. Região,RITA DE CASSIA SACRAMENTO SOUZA LEAO,300,15e3,CPF/CNPJ: 00142176000188 - JOSE CELIO TAVARES - EPP / LAVANDERIA CEU AZUL Origem do Recurso: (Recursos proprios),Recursos proprios,2016-09-25,2016-10-01,2016-09-26,2016-09-28,-16.342940675,-42.922744
123,SP-00443/2016,SP_62090,SP,BARRETOS,Eleições Municipais 2016,Prefeito,DADO PESQUISA E CONSULTORIA LTDA - EPP / DADO PESQUISA E CONSULTORIA LTDA,18886742000121,Não,7655,AUGUSTO ROCHA,650,3e3,CPF/CNPJ: 00186382000190 - JORNAL O DIARIO DE BARRETOS LTDA-EPP Origem do Recurso: (Recursos proprios),Recursos proprios,2016-07-14,2016-07-20,2016-07-15,2016-07-16,-20.5574990136364,-48.5761231772727
124,BA-09041/2016,BA_39659,BA,VITORIA DA CONQUISTA,Eleições Municipais 2016,Prefeito,P & A PESQUISA E ANALISE SOCIAL E ECONOMICA LTDA - EPP,16096182000186,Não,6436 Série A,MARIA DE JESUS FERREIRA DE OLIVEIRA,625,12e3,CPF/CNPJ: 00193111000161 - ROSSANE COMUNICACAO E CULTURA LTDA - ME / ROSSANE PRODUCOES Origem do Recurso: (Recursos proprios),Recursos proprios,2016-09-06,2016-09-12,2016-09-06,2016-09-09,-14.8532413559322,-40.8441053610169
